Date,Age,Tm,Opp,W_or_L,MP,PTS
2009-04-03,24-094,CLE,ORL,L (-29),32:00,26
2009-04-05,24-096,CLE,SAS,W (+20),36:43,38
2009-04-08,24-099,CLE,WAS,W (+12),30:51,21
2009-04-10,24-101,CLE,PHI,W (+10),36:34,27
2009-04-12,24-103,CLE,BOS,W (+31),30:22,29
2009-04-13,24-104,CLE,IND,W (+8),38:42,37
2009-10-27,24-301,CLE,BOS,L (-6),44:55,38
2009-10-28,24-302,CLE,TOR,L (-10),39:47,23
2009-10-30,24-304,CLE,MIN,W (+17),33:26,24
2009-10-31,24-305,CLE,CHA,W (+11),37:14,14
2009-11-03,24-308,CLE,WAS,W (+12),35:59,27
2009-11-05,24-310,CLE,CHI,L (-1),38:13,25
2009-11-06,24-311,CLE,NYK,W (+9),35:37,33
2009-11-11,24-316,CLE,ORL,W (+9),39:07,36
2009-11-12,24-317,CLE,MIA,W (+7),38:53,34
2009-11-14,24-319,CLE,UTA,W (+4),37:33,21
2009-11-17,24-322,CLE,GSW,W (+6),38:32,31
2009-11-18,24-323,CLE,WAS,L (-17),35:08,34
2009-11-20,24-325,CLE,IND,W (+10),37:53,40
2009-11-21,24-326,CLE,PHI,W (+6),38:32,32
2009-11-25,24-330,CLE,DET,W (+10),38:49,34
2009-11-27,24-332,CLE,CHA,L (-7),38:01,25
2009-11-28,24-333,CLE,DAL,W (+16),36:21,25
2009-12-02,24-337,CLE,PHO,W (+17),34:37,12
2009-12-04,24-339,CLE,CHI,W (+14),34:12,23
2009-12-06,24-341,CLE,MIL,W (+15),32:18,14
2009-12-08,24-343,CLE,MEM,L (-2),44:47,43
2009-12-09,24-344,CLE,HOU,L (-10),39:40,27
2009-12-11,24-346,CLE,POR,W (+5),37:36,33
2009-12-13,24-348,CLE,OKC,W (+13),38:35,44
2009-12-15,24-350,CLE,NJN,W (+10),40:28,23
2009-12-16,24-351,CLE,PHI,W (+7),40:17,36
2009-12-18,24-353,CLE,MIL,W (+3),38:22,26
2009-12-20,24-355,CLE,DAL,L (-7),43:05,25
2009-12-21,24-356,CLE,PHO,W (+18),38:26,29
2009-12-23,24-358,CLE,SAC,W (+13),43:41,34
2009-12-25,24-360,CLE,LAL,W (+15),40:44,26
2009-12-27,24-362,CLE,HOU,W (+25),29:26,29
2009-12-29,24-364,CLE,ATL,W (+11),39:36,14
2009-12-30,25-000,CLE,ATL,W (+5),43:12,48
2010-01-02,25-003,CLE,NJN,W (+8),36:27,28
2010-01-03,25-004,CLE,CHA,L (-3),42:51,29
2010-01-06,25-007,CLE,WAS,W (+23),30:50,23
2010-01-08,25-009,CLE,DEN,L (-2),41:18,35
2010-01-10,25-011,CLE,POR,W (+12),45:16,41
2010-01-11,25-012,CLE,GSW,W (+3),41:37,37
2010-01-14,25-015,CLE,UTA,L (-1),40:25,36
2010-01-16,25-017,CLE,LAC,W (+1),38:54,32
2010-01-19,25-020,CLE,TOR,W (+8),41:01,28
2010-01-21,25-022,CLE,LAL,W (+6),40:24,37
2010-01-23,25-024,CLE,OKC,W (+1),42:38,37
2010-01-25,25-026,CLE,MIA,W (+1),38:31,32
2010-01-27,25-028,CLE,MIN,W (+14),30:33,12
2010-01-29,25-030,CLE,IND,W (+21),35:39,22
2010-01-31,25-032,CLE,LAC,W (+25),39:55,32
2010-02-02,25-034,CLE,MEM,W (+16),37:07,22
2010-02-04,25-036,CLE,MIA,W (+16),40:06,36
2010-02-06,25-038,CLE,NYK,W (+7),43:51,47
2010-02-09,25-041,CLE,NJN,W (+7),42:21,32
2010-02-11,25-043,CLE,ORL,W (+9),45:05,32
2010-02-18,25-050,CLE,DEN,L (-2),47:00,43
2010-02-19,25-051,CLE,CHA,L (-17),35:30,22
2010-02-21,25-053,CLE,ORL,L (-6),39:23,33
2010-02-23,25-055,CLE,NOH,W (+10),44:07,20
2010-02-25,25-057,CLE,BOS,W (+20),35:57,36
2010-02-26,25-058,CLE,TOR,W (+8),44:24,36
2010-03-01,25-061,CLE,NYK,W (+31),31:14,22
2010-03-03,25-063,CLE,NJN,W (+19),40:41,26
2010-03-05,25-065,CLE,DET,W (+7),41:52,40
2010-03-12,25-072,CLE,PHI,W (+5),42:06,23
2010-03-14,25-074,CLE,BOS,W (+11),38:52,30
2010-03-16,25-076,CLE,DET,W (+12),43:07,29
2010-03-17,25-077,CLE,IND,W (+5),38:43,32
2010-03-19,25-079,CLE,CHI,W (+7),37:31,29
2010-03-21,25-081,CLE,DET,W (+25),30:48,15
2010-03-24,25-084,CLE,NOH,W (+13),40:45,38
2010-03-26,25-086,CLE,SAS,L (-5),39:18,27
2010-03-28,25-088,CLE,SAC,W (+7),39:05,34
2010-03-31,25-091,CLE,MIL,W (+3),39:05,23
2010-04-02,25-093,CLE,ATL,W (+5),38:22,27
2010-04-04,25-095,CLE,BOS,L (-4),44:32,42
2010-04-06,25-097,CLE,TOR,W (+12),35:34,19
2010-10-26,25-300,MIA,BOS,L (-8),42:39,31
2010-10-27,25-301,MIA,PHI,W (+10),37:33,16
2010-10-29,25-303,MIA,ORL,W (+26),30:02,15
2010-10-31,25-305,MIA,NJN,W (+23),28:57,20
2010-11-02,25-307,MIA,MIN,W (+32),32:26,20
2010-11-05,25-310,MIA,NOH,L (-3),41:12,20
2010-11-06,25-311,MIA,NJN,W (+12),33:35,23
2010-11-09,25-314,MIA,UTA,L (-2),46:44,20
2010-11-11,25-316,MIA,BOS,L (-5),44:28,35
2010-11-13,25-318,MIA,TOR,W (+9),39:20,23
2010-11-17,25-322,MIA,PHO,W (+27),23:03,20
2010-11-19,25-324,MIA,CHA,W (+8),39:29,32
2010-11-20,25-325,MIA,MEM,L (-2),42:06,29
2010-11-22,25-327,MIA,IND,L (-16),41:34,25
2010-11-24,25-329,MIA,ORL,L (-9),40:44,25
2010-11-26,25-331,MIA,PHI,W (+9),40:34,20
2010-11-27,25-332,MIA,DAL,L (-11),36:04,23
2010-11-29,25-334,MIA,WAS,W (+11),38:11,30
2010-12-01,25-336,MIA,DET,W (+25),31:14,18
2010-12-02,25-337,MIA,CLE,W (+28),30:02,38
2010-12-04,25-339,MIA,ATL,W (+12),37:19,22
2010-12-06,25-341,MIA,MIL,W (+10),38:41,17
2010-12-08,25-343,MIA,UTA,W (+13),39:26,33
2010-12-10,25-345,MIA,GSW,W (+22),30:43,25
2010-12-11,25-346,MIA,SAC,W (+21),35:11,25
2010-12-13,25-348,MIA,NOH,W (+12),40:18,20
2010-12-15,25-350,MIA,CLE,W (+6),38:31,21
2010-12-17,25-352,MIA,NYK,W (+22),38:13,32
2010-12-18,25-353,MIA,WAS,W (+1),40:31,32
2010-12-20,25-355,MIA,DAL,L (-2),36:05,19
2010-12-23,25-358,MIA,PHO,W (+12),37:23,36
2010-12-25,25-360,MIA,LAL,W (+16),38:11,27
2010-12-28,25-363,MIA,NYK,W (+8),40:25,18
2010-12-29,25-364,MIA,HOU,W (+6),39:09,20
2011-01-01,26-002,MIA,GSW,W (+7),41:31,25
2011-01-03,26-004,MIA,CHA,W (+14),36:34,38
2011-01-04,26-005,MIA,MIL,W (+12),36:35,25
2011-01-07,26-008,MIA,MIL,W (+6),45:16,26
2011-01-09,26-010,MIA,POR,W (+7),46:11,44
2011-01-12,26-013,MIA,LAC,L (-6),39:44,27
2011-01-18,26-019,MIA,ATL,L (-4),44:17,34
2011-01-22,26-023,MIA,TOR,W (+17),38:00,38
2011-01-27,26-028,MIA,NYK,L (-5),42:32,24
2011-01-28,26-029,MIA,DET,W (+1),44:19,39
2011-01-30,26-031,MIA,OKC,W (+5),40:13,23
2011-01-31,26-032,MIA,CLE,W (+27),31:22,24
2011-02-03,26-035,MIA,ORL,W (+4),42:39,51
2011-02-04,26-036,MIA,CHA,W (+12),36:39,19
2011-02-06,26-038,MIA,LAC,W (+18),35:37,12
2011-02-08,26-040,MIA,IND,W (+5),41:44,41
2011-02-11,26-043,MIA,DET,W (+14),34:43,16
2011-02-13,26-045,MIA,BOS,L (-3),43:28,22
2011-02-15,26-047,MIA,IND,W (+7),40:55,27
2011-02-16,26-048,MIA,TOR,W (+8),37:38,23
2011-02-22,26-054,MIA,SAC,W (+20),30:24,31
2011-02-24,26-056,MIA,CHI,L (-4),41:26,29
2011-02-25,26-057,MIA,WAS,W (+8),42:46,25
2011-02-27,26-059,MIA,NYK,L (-5),39:08,27
2011-03-03,26-063,MIA,ORL,L (-3),39:56,29
2011-03-04,26-064,MIA,SAS,L (-30),36:08,26
2011-03-06,26-066,MIA,CHI,L (-1),41:50,26
2011-03-08,26-068,MIA,POR,L (-9),45:32,31
2011-03-10,26-070,MIA,LAL,W (+6),42:16,19
2011-03-12,26-072,MIA,MEM,W (+33),31:55,27
2011-03-14,26-074,MIA,SAS,W (+30),41:31,21
2011-03-16,26-076,MIA,OKC,L (-11),39:30,19
2011-03-18,26-078,MIA,ATL,W (+21),30:54,43
2011-03-19,26-079,MIA,DEN,W (+5),40:40,33
2011-03-23,26-083,MIA,DET,W (+6),42:05,19
2011-03-25,26-085,MIA,PHI,W (+12),41:01,32
2011-03-27,26-087,MIA,HOU,W (+6),40:27,33
2011-03-29,26-089,MIA,CLE,L (-12),43:17,27
2011-03-30,26-090,MIA,WAS,W (+16),43:49,35
2011-04-01,26-092,MIA,MIN,W (+19),42:53,27
2011-04-03,26-094,MIA,NJN,W (+14),38:55,31
2011-04-06,26-097,MIA,MIL,L (-5),39:25,29
2011-04-08,26-099,MIA,CHA,W (+9),37:23,23
2011-04-10,26-101,MIA,BOS,W (+23),37:11,27
2011-04-11,26-102,MIA,ATL,W (+8),42:39,34
2011-12-25,26-360,MIA,DAL,W (+11),36:16,37
2011-12-27,26-362,MIA,BOS,W (+8),36:00,26
2011-12-28,26-363,MIA,CHA,W (+1),38:49,35
2011-12-30,27-000,MIA,MIN,W (+2),37:13,34
2012-01-01,27-002,MIA,CHA,W (+39),28:02,16
2012-01-02,27-003,MIA,ATL,L (-8),38:33,28
2012-01-04,27-005,MIA,IND,W (+35),37:41,33
2012-01-07,27-008,MIA,NJN,W (+11),37:23,32
2012-01-10,27-011,MIA,GSW,L (-5),42:33,26
2012-01-11,27-012,MIA,LAC,L (-6),41:53,23
2012-01-13,27-014,MIA,DEN,L (-13),37:11,35
2012-01-17,27-018,MIA,SAS,W (+22),34:53,33
2012-01-19,27-020,MIA,LAL,W (+11),37:13,31
2012-01-21,27-022,MIA,PHI,W (+21),35:47,28
2012-01-22,27-023,MIA,MIL,L (-9),37:22,28
2012-01-24,27-025,MIA,CLE,W (+7),37:48,18
2012-01-25,27-026,MIA,DET,W (+3),41:39,32
2012-01-27,27-028,MIA,NYK,W (+10),40:17,31
2012-01-29,27-030,MIA,CHI,W (+4),40:58,35
2012-01-30,27-031,MIA,NOH,W (+14),29:44,22
2012-02-01,27-033,MIA,MIL,L (-8),40:17,40
2012-02-03,27-035,MIA,PHI,W (+20),37:13,19
2012-02-05,27-037,MIA,TOR,W (+6),38:29,30
2012-02-07,27-039,MIA,CLE,W (+16),38:40,24
2012-02-08,27-040,MIA,ORL,L (-13),39:15,17
2012-02-10,27-042,MIA,WAS,W (+17),33:17,18
2012-02-12,27-044,MIA,ATL,W (+20),30:26,23
2012-02-13,27-045,MIA,MIL,W (+18),32:54,35
2012-02-14,27-046,MIA,IND,W (+15),33:24,23
2012-02-17,27-049,MIA,CLE,W (+24),30:08,28
2012-02-19,27-051,MIA,ORL,W (+12),36:38,25
2012-02-21,27-053,MIA,SAC,W (+12),33:13,18
2012-02-23,27-055,MIA,NYK,W (+14),40:41,20
2012-03-01,27-062,MIA,POR,W (+14),41:02,38
2012-03-02,27-063,MIA,UTA,L (-1),44:24,35
2012-03-04,27-065,MIA,LAL,L (-10),43:02,25
2012-03-06,27-067,MIA,NJN,W (+30),29:36,21
2012-03-07,27-068,MIA,ATL,W (+3),41:40,31
2012-03-10,27-071,MIA,IND,W (+2),47:06,27
2012-03-13,27-074,MIA,ORL,L (-6),42:25,19
2012-03-14,27-075,MIA,CHI,L (-4),39:38,35
2012-03-16,27-077,MIA,PHI,W (+6),38:15,29
2012-03-18,27-079,MIA,ORL,W (+10),38:58,14
2012-03-20,27-081,MIA,PHO,W (+4),37:54,20
2012-03-23,27-084,MIA,DET,W (+15),37:26,17
2012-03-25,27-086,MIA,OKC,L (-16),39:36,17
2012-03-26,27-087,MIA,IND,L (-15),40:49,24
2012-03-29,27-090,MIA,DAL,W (+21),36:13,19
2012-03-30,27-091,MIA,TOR,W (+12),38:31,26
2012-04-01,27-093,MIA,BOS,L (-19),34:37,23
2012-04-03,27-095,MIA,PHI,W (+6),38:04,41
2012-04-04,27-096,MIA,OKC,W (+5),41:30,34
2012-04-06,27-098,MIA,MEM,L (-15),37:38,21
2012-04-08,27-100,MIA,DET,W (+23),32:15,26
2012-04-10,27-102,MIA,BOS,L (-8),40:51,36
2012-04-12,27-104,MIA,CHI,L (-10),47:18,30
2012-04-13,27-105,MIA,CHA,W (+23),28:44,19
2012-04-15,27-107,MIA,NYK,W (+8),40:15,29
2012-04-16,27-108,MIA,NJN,W (+3),35:12,37
2012-04-18,27-110,MIA,TOR,W (+24),30:12,28
2012-04-19,27-111,MIA,CHI,W (+11),35:20,27
2012-04-22,27-114,MIA,HOU,W (+9),35:52,32
2012-10-30,27-305,MIA,BOS,W (+13),28:52,26
2012-11-02,27-308,MIA,NYK,L (-20),36:41,23
2012-11-03,27-309,MIA,DEN,W (+3),39:12,20
2012-11-05,27-311,MIA,PHO,W (+25),30:11,23
2012-11-07,27-313,MIA,BRK,W (+30),29:59,20
2012-11-09,27-315,MIA,ATL,W (+6),35:40,21
2012-11-11,27-317,MIA,MEM,L (-18),35:43,20
2012-11-12,27-318,MIA,HOU,W (+3),39:55,38
2012-11-14,27-320,MIA,LAC,L (-7),41:13,30
2012-11-15,27-321,MIA,DEN,W (+5),41:57,27
2012-11-17,27-323,MIA,PHO,W (+9),40:43,21
2012-11-21,27-327,MIA,MIL,W (+7),42:32,28
2012-11-24,27-330,MIA,CLE,W (+2),39:58,30
2012-11-29,27-335,MIA,SAS,W (+5),39:06,23
2012-12-01,27-337,MIA,BRK,W (+13),36:57,21
2012-12-04,27-340,MIA,WAS,L (-4),42:53,26
2012-12-06,27-342,MIA,NYK,L (-20),38:35,31
2012-12-08,27-344,MIA,NOH,W (+16),35:55,24
2012-12-10,27-346,MIA,ATL,W (+9),40:21,27
2012-12-12,27-348,MIA,GSW,L (-2),42:21,31
2012-12-15,27-351,MIA,WAS,W (+30),30:33,23
2012-12-18,27-354,MIA,MIN,W (+11),41:59,22
2012-12-20,27-356,MIA,DAL,W (+15),30:55,24
2012-12-22,27-358,MIA,UTA,W (+16),37:30,30
2012-12-25,27-361,MIA,OKC,W (+6),41:52,29
2012-12-26,27-362,MIA,CHA,W (+13),38:35,27
2012-12-28,27-364,MIA,DET,L (-10),44:19,35
2012-12-29,27-365,MIA,MIL,L (-19),36:29,26
2012-12-31,28-001,MIA,ORL,W (+2),47:53,36
2013-01-02,28-003,MIA,DAL,W (+10),42:01,32
2013-01-04,28-005,MIA,CHI,L (-7),41:05,30
2013-01-06,28-007,MIA,WAS,W (+28),34:57,24
2013-01-08,28-009,MIA,IND,L (-10),42:36,22
2013-01-10,28-011,MIA,POR,L (-2),42:39,15
2013-01-12,28-013,MIA,SAC,W (+29),29:08,20
2013-01-14,28-015,MIA,UTA,L (-7),43:41,32
2013-01-16,28-017,MIA,GSW,W (+17),30:32,25
2013-01-17,28-018,MIA,LAL,W (+9),42:04,39
2013-01-23,28-024,MIA,TOR,W (+7),44:50,31
2013-01-25,28-026,MIA,DET,W (+22),33:01,23
2013-01-27,28-028,MIA,BOS,L (-2),51:56,34
2013-01-30,28-031,MIA,BRK,W (+20),34:17,24
2013-02-01,28-033,MIA,IND,L (-13),41:58,28
2013-02-03,28-035,MIA,TOR,W (+15),39:44,30
2013-02-04,28-036,MIA,CHA,W (+5),38:00,31
2013-02-06,28-038,MIA,HOU,W (+6),36:37,32
2013-02-08,28-040,MIA,LAC,W (+22),30:59,30
2013-02-10,28-042,MIA,LAL,W (+10),36:15,32
2013-02-12,28-044,MIA,POR,W (+13),38:45,30
2013-02-14,28-046,MIA,OKC,W (+10),40:02,39
2013-02-20,28-052,MIA,ATL,W (+13),39:31,24
2013-02-21,28-053,MIA,CHI,W (+19),34:29,26
2013-02-23,28-055,MIA,PHI,W (+24),31:30,16
2013-02-24,28-056,MIA,CLE,W (+4),38:51,28
2013-02-26,28-058,MIA,SAC,W (+12),47:45,40
2013-03-01,28-061,MIA,MEM,W (+7),42:06,18
2013-03-03,28-063,MIA,NYK,W (+6),42:50,29
2013-03-04,28-064,MIA,MIN,W (+16),34:53,20
2013-03-06,28-066,MIA,ORL,W (+1),38:13,26
2013-03-08,28-068,MIA,PHI,W (+9),34:14,25
2013-03-10,28-070,MIA,IND,W (+14),36:21,13
2013-03-12,28-072,MIA,ATL,W (+17),30:07,15
2013-03-13,28-073,MIA,PHI,W (+4),37:14,27
2013-03-15,28-075,MIA,MIL,W (+13),38:14,28
2013-03-17,28-077,MIA,TOR,W (+17),33:50,22
2013-03-18,28-078,MIA,BOS,W (+2),42:15,37
2013-03-20,28-080,MIA,CLE,W (+3),42:19,25
2013-03-22,28-082,MIA,DET,W (+14),39:53,29
2013-03-24,28-084,MIA,CHA,W (+32),34:10,32
2013-03-25,28-085,MIA,ORL,W (+14),38:45,24
2013-03-27,28-087,MIA,CHI,L (-4),39:56,32
2013-03-29,28-089,MIA,NOH,W (+19),32:13,36
2013-04-06,28-097,MIA,PHI,W (+19),29:42,27
2013-04-09,28-100,MIA,MIL,W (+11),30:04,28
2013-04-12,28-103,MIA,BOS,W (+8),28:51,20
2013-04-14,28-105,MIA,CHI,W (+12),34:51,24
2013-10-29,28-303,MIA,CHI,W (+12),38:01,17
2013-10-30,28-304,MIA,PHI,L (-4),36:38,25
2013-11-01,28-306,MIA,BRK,L (-1),42:14,26
2013-11-03,28-308,MIA,WAS,W (+10),34:41,25
2013-11-05,28-310,MIA,TOR,W (+9),36:01,35
2013-11-07,28-312,MIA,LAC,W (+5),37:09,18
2013-11-09,28-314,MIA,BOS,L (-1),36:32,25
2013-11-12,28-317,MIA,MIL,W (+23),29:58,33
2013-11-15,28-320,MIA,DAL,W (+6),36:58,39
2013-11-16,28-321,MIA,CHA,W (+16),31:55,30
2013-11-19,28-324,MIA,ATL,W (+16),30:42,13
2013-11-20,28-325,MIA,ORL,W (+28),29:05,21
2013-11-23,28-328,MIA,ORL,W (+2),37:35,22
2013-11-25,28-330,MIA,PHO,W (+15),33:21,35
2013-11-27,28-332,MIA,CLE,W (+11),37:06,28
2013-11-29,28-334,MIA,TOR,W (+7),36:27,27
2013-12-01,28-336,MIA,CHA,W (+1),38:16,26
2013-12-03,28-338,MIA,DET,L (-10),36:58,23
2013-12-05,28-340,MIA,CHI,L (-20),33:18,21
2013-12-07,28-342,MIA,MIN,W (+21),30:34,21
2013-12-08,28-343,MIA,DET,W (+15),35:01,24
2013-12-10,28-345,MIA,IND,L (-6),38:32,17
2013-12-14,28-349,MIA,CLE,W (+7),40:37,25
2013-12-16,28-351,MIA,UTA,W (+23),33:49,30
2013-12-18,28-353,MIA,IND,W (+3),36:14,24
2013-12-20,28-355,MIA,SAC,W (+19),30:40,18
2013-12-23,28-358,MIA,ATL,W (+2),45:38,38
2013-12-25,28-360,MIA,LAL,W (+6),35:48,19
2013-12-27,28-362,MIA,SAC,L (-5),43:43,33
2013-12-30,29-000,MIA,DEN,W (+3),39:44,26
2014-01-02,29-003,MIA,GSW,L (-9),39:34,26
2014-01-04,29-005,MIA,ORL,W (+16),35:55,15
2014-01-05,29-006,MIA,TOR,W (+5),37:47,30
2014-01-07,29-008,MIA,NOP,W (+19),35:15,32
2014-01-09,29-010,MIA,NYK,L (-10),41:25,32
2014-01-10,29-011,MIA,BRK,L (-9),49:22,36
2014-01-15,29-016,MIA,WAS,L (-17),41:04,25
2014-01-17,29-018,MIA,PHI,W (+15),36:31,21
2014-01-18,29-019,MIA,CHA,W (+8),44:52,34
2014-01-20,29-021,MIA,ATL,L (-7),38:43,30
2014-01-21,29-022,MIA,BOS,W (+7),38:48,29
2014-01-23,29-024,MIA,LAL,W (+7),37:18,27
2014-01-26,29-027,MIA,SAS,W (+12),27:43,18
2014-01-29,29-030,MIA,OKC,L (-17),42:10,34
2014-02-01,29-033,MIA,NYK,W (+15),39:06,30
2014-02-03,29-035,MIA,DET,W (+6),38:19,24
2014-02-05,29-037,MIA,LAC,W (+4),40:47,31
2014-02-08,29-040,MIA,UTA,L (-5),39:21,13
2014-02-11,29-043,MIA,PHO,W (+6),40:59,37
2014-02-12,29-044,MIA,GSW,W (+1),42:16,36
2014-02-18,29-050,MIA,DAL,W (+11),38:28,42
2014-02-20,29-052,MIA,OKC,W (+22),33:24,33
2014-02-27,29-059,MIA,NYK,W (+26),36:38,31
2014-03-01,29-061,MIA,ORL,W (+14),31:13,20
2014-03-03,29-063,MIA,CHA,W (+17),41:12,61
2014-03-04,29-064,MIA,HOU,L (-3),36:38,22
2014-03-06,29-066,MIA,SAS,L (-24),38:04,19
2014-03-09,29-069,MIA,CHI,L (-7),45:19,17
2014-03-10,29-070,MIA,WAS,W (+9),36:45,23
2014-03-12,29-072,MIA,BRK,L (-1),38:03,19
2014-03-14,29-074,MIA,DEN,L (-4),39:50,21
2014-03-16,29-076,MIA,HOU,W (+9),42:52,24
2014-03-18,29-078,MIA,CLE,W (+4),41:40,43
2014-03-21,29-081,MIA,MEM,W (+5),38:01,15
2014-03-22,29-082,MIA,NOP,L (-10),41:59,25
2014-03-24,29-084,MIA,POR,W (+2),38:22,32
2014-03-26,29-086,MIA,IND,L (-1),43:24,38
2014-03-28,29-088,MIA,DET,W (+32),29:46,17
2014-03-29,29-089,MIA,MIL,W (+21),30:03,13
2014-03-31,29-091,MIA,TOR,W (+10),38:53,32
2014-04-02,29-093,MIA,MIL,W (+19),29:21,17
2014-04-04,29-095,MIA,MIN,L (-1),47:57,34
2014-04-06,29-097,MIA,NYK,W (+11),42:47,38
2014-04-08,29-099,MIA,BRK,L (-1),37:08,29
2014-04-09,29-100,MIA,MEM,L (-5),41:22,37
2014-04-11,29-102,MIA,IND,W (+12),34:52,36
2014-04-12,29-103,MIA,ATL,L (-13),37:21,27
2014-10-30,29-304,CLE,NYK,L (-5),43:14,17
2014-10-31,29-305,CLE,CHI,W (+6),41:40,36
2014-11-04,29-309,CLE,POR,L (-19),34:56,11
2014-11-05,29-310,CLE,UTA,L (-2),42:02,31
2014-11-07,29-312,CLE,DEN,W (+9),39:38,22
2014-11-10,29-315,CLE,NOP,W (+7),40:26,32
2014-11-14,29-319,CLE,BOS,W (+1),40:51,41
2014-11-15,29-320,CLE,ATL,W (+33),28:54,32
2014-11-17,29-322,CLE,DEN,L (-9),40:34,22
2014-11-19,29-324,CLE,SAS,L (-2),34:06,15
2014-11-21,29-326,CLE,WAS,L (-13),39:02,22
2014-11-22,29-327,CLE,TOR,L (-17),37:17,15
2014-11-24,29-329,CLE,ORL,W (+32),31:00,29
2014-11-26,29-331,CLE,WAS,W (+26),36:05,29
2014-11-29,29-334,CLE,IND,W (+12),31:44,19
2014-12-02,29-337,CLE,MIL,W (+3),41:05,26
2014-12-04,29-339,CLE,NYK,W (+3),39:31,19
2014-12-05,29-340,CLE,TOR,W (+14),42:27,24
2014-12-08,29-343,CLE,BRK,W (+22),33:54,18
2014-12-09,29-344,CLE,TOR,W (+4),41:53,35
2014-12-12,29-347,CLE,NOP,L (-5),37:37,41
2014-12-15,29-350,CLE,CHO,W (+9),40:18,27
2014-12-17,29-352,CLE,ATL,L (-29),29:02,21
2014-12-19,29-354,CLE,BRK,W (+4),39:56,22
2014-12-21,29-356,CLE,MEM,W (+14),37:33,25
2014-12-23,29-358,CLE,MIN,W (+21),34:38,24
2014-12-25,29-360,CLE,MIA,L (-10),40:02,30
2014-12-26,29-361,CLE,ORL,W (+9),36:56,29
2014-12-28,29-363,CLE,DET,L (-23),31:51,17
2015-01-13,30-014,CLE,PHO,L (-7),36:41,33
2015-01-15,30-016,CLE,LAL,W (+7),38:02,36
2015-01-16,30-017,CLE,LAC,W (+5),42:29,32
2015-01-19,30-020,CLE,CHI,W (+14),36:16,26
2015-01-21,30-022,CLE,UTA,W (+14),35:45,26
2015-01-23,30-024,CLE,CHO,W (+39),26:37,25
2015-01-25,30-026,CLE,OKC,W (+10),38:35,34
2015-01-27,30-028,CLE,DET,W (+8),35:56,32
2015-01-30,30-031,CLE,SAC,W (+11),33:04,19
2015-01-31,30-032,CLE,MIN,W (+16),39:45,36
2015-02-02,30-034,CLE,PHI,W (+13),35:51,18
2015-02-05,30-037,CLE,LAC,W (+11),27:47,23
2015-02-06,30-038,CLE,IND,L (-4),38:34,25
2015-02-08,30-040,CLE,LAL,W (+15),30:11,22
2015-02-11,30-043,CLE,MIA,W (+20),31:27,18
2015-02-12,30-044,CLE,CHI,L (-15),34:14,31
2015-02-20,30-052,CLE,WAS,W (+38),25:07,28
2015-02-22,30-054,CLE,NYK,W (+18),27:55,18
2015-02-24,30-056,CLE,DET,W (+9),39:03,19
2015-02-26,30-058,CLE,GSW,W (+11),36:12,42
2015-03-01,30-061,CLE,HOU,L (-2),42:06,37
2015-03-03,30-063,CLE,BOS,W (+31),25:35,27
2015-03-04,30-064,CLE,TOR,W (+8),37:27,29
2015-03-06,30-066,CLE,ATL,L (-9),40:09,18
2015-03-07,30-067,CLE,PHO,W (+10),36:26,17
2015-03-10,30-070,CLE,DAL,W (+33),28:58,27
2015-03-12,30-072,CLE,SAS,W (+3),43:43,31
2015-03-15,30-075,CLE,ORL,W (+15),34:44,21
2015-03-16,30-076,CLE,MIA,L (-14),35:16,26
2015-03-18,30-078,CLE,BRK,W (+25),34:35,16
2015-03-20,30-080,CLE,IND,W (+3),39:18,29
2015-03-22,30-082,CLE,MIL,W (+18),39:28,28
2015-03-25,30-085,CLE,MEM,W (+22),31:27,20
2015-03-27,30-087,CLE,BRK,L (-8),38:28,24
2015-03-29,30-089,CLE,PHI,W (+1),37:53,20
2015-04-02,30-093,CLE,MIA,W (+26),35:27,23
2015-04-05,30-096,CLE,CHI,W (+5),36:31,20
2015-04-08,30-099,CLE,MIL,W (+5),39:51,21
2015-04-10,30-101,CLE,BOS,L (-9),26:05,14
2015-04-13,30-104,CLE,DET,W (+12),32:14,21
2015-10-27,30-301,CLE,CHI,L (-2),36:04,25
2015-10-28,30-302,CLE,MEM,W (+30),30:48,12
2015-10-30,30-304,CLE,MIA,W (+10),33:56,29
2015-11-02,30-307,CLE,PHI,W (+7),33:20,22
2015-11-04,30-309,CLE,NYK,W (+10),35:04,23
2015-11-06,30-311,CLE,PHI,W (+6),36:20,31
2015-11-08,30-313,CLE,IND,W (+4),35:01,29
2015-11-10,30-315,CLE,UTA,W (+4),37:51,31
2015-11-13,30-318,CLE,NYK,W (+6),39:23,31
2015-11-14,30-319,CLE,MIL,L (-3),45:03,37
2015-11-17,30-322,CLE,DET,L (-5),39:48,30
2015-11-19,30-324,CLE,MIL,W (+15),34:59,27
2015-11-21,30-326,CLE,ATL,W (+12),33:20,19
2015-11-23,30-328,CLE,ORL,W (+14),34:58,15
2015-11-25,30-330,CLE,TOR,L (-4),39:46,24
2015-11-27,30-332,CLE,CHO,W (+5),38:13,25
2015-11-28,30-333,CLE,BRK,W (+2),35:43,26
2015-12-01,30-336,CLE,WAS,L (-12),37:23,24
2015-12-04,30-339,CLE,NOP,L (-6),44:47,37
2015-12-08,30-343,CLE,POR,W (+5),40:20,33
2015-12-11,30-346,CLE,ORL,W (+35),29:25,25
2015-12-15,30-350,CLE,BOS,W (+12),35:42,24
